"image","name","type"
"https://www.google.com/s2/favicons?domain=muaban.net","muaban.net","TMDT"
"https://www.google.com/s2/favicons?domain=sexvip.pro","sexvip.pro","Người lớn"
"https://www.google.com/s2/favicons?domain=hochiminhcity.gov.vn","hochiminhcity.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=tv360.vn","tv360.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=lucidcam.com","lucidcam.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=giacaphe.com","giacaphe.com","Tin tức"
"https://www.google.com/s2/favicons?domain=tienganh123.com","tienganh123.com","Khoa học"
"https://www.google.com/s2/favicons?domain=galaxycine.vn","galaxycine.vn","Giải Trí"
"https://www.google.com/s2/favicons?domain=chiasenhac.vn","chiasenhac.vn","Giải Trí"
"https://www.google.com/s2/favicons?domain=shueisha.co.jp","shueisha.co.jp","Giải Trí"
"https://www.google.com/s2/favicons?domain=acb.com.vn","acb.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=benhvienthucuc.vn","benhvienthucuc.vn","Sức khỏe"
"https://www.google.com/s2/favicons?domain=bazaarvietnam.vn","bazaarvietnam.vn","Đời sống"
"https://www.google.com/s2/favicons?domain=cafeland.vn","cafeland.vn","Doanh nghiệp"
"https://www.google.com/s2/favicons?domain=simpsonswiki.com","simpsonswiki.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=mtholyoke.edu","mtholyoke.edu","Khoa học"
"https://www.google.com/s2/favicons?domain=quizizz.com","quizizz.com","Khoa học"
"https://www.google.com/s2/favicons?domain=bscscan.com","bscscan.com","Tài chính"
"https://www.google.com/s2/favicons?domain=nguyencongpc.vn","nguyencongpc.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=javlibrary.com","javlibrary.com","Người lớn"
"https://www.google.com/s2/favicons?domain=motgame.vn","motgame.vn","Trò chơi"
"https://www.google.com/s2/favicons?domain=4hfchest5kdnfnut.com","4hfchest5kdnfnut.com",""
"https://www.google.com/s2/favicons?domain=exness.com","exness.com","Tài chính"
"https://www.google.com/s2/favicons?domain=javhub.net","javhub.net","Người lớn"
"https://www.google.com/s2/favicons?domain=xosodaicat.com","xosodaicat.com","Social Casino"
"https://www.google.com/s2/favicons?domain=tapchikhcn.udn.vn","tapchikhcn.udn.vn",""
"https://www.google.com/s2/favicons?domain=magiamgiashopee.vn","magiamgiashopee.vn","TMDT"
"https://www.google.com/s2/favicons?domain=viettablet.com","viettablet.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=game8.co","game8.co","Trò chơi"
"https://www.google.com/s2/favicons?domain=alibaba.com","alibaba.com","TMDT"
"https://www.google.com/s2/favicons?domain=gelbooru.com","gelbooru.com","Người lớn"
"https://www.google.com/s2/favicons?domain=ou.edu.vn","ou.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=pornolaba.mobi","pornolaba.mobi","Người lớn"
"https://www.google.com/s2/favicons?domain=myibidder.com","myibidder.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=luotphim.tv","luotphim.tv","Giải Trí"
"https://www.google.com/s2/favicons?domain=alonhadat.com.vn","alonhadat.com.vn","Doanh nghiệp"
"https://www.google.com/s2/favicons?domain=truyenmoii.com","truyenmoii.com",""
"https://www.google.com/s2/favicons?domain=tripadvisor.com.vn","tripadvisor.com.vn","Du lịch"
"https://www.google.com/s2/favicons?domain=linktr.ee","linktr.ee","Đời sống"
"https://www.google.com/s2/favicons?domain=pcrdfans.com","pcrdfans.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=shop2banh.vn","shop2banh.vn","Xe cộ"
"https://www.google.com/s2/favicons?domain=bnews.vn","bnews.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=ngoisao.net","ngoisao.net","Tin tức"
"https://www.google.com/s2/favicons?domain=daikin.com.vn","daikin.com.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=shub.edu.vn","shub.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=vnav.vn","vnav.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=hdmediagroup.vn","hdmediagroup.vn","Social Casino"
"https://www.google.com/s2/favicons?domain=navigator-bs.gmx.com","navigator-bs.gmx.com",""
"https://www.google.com/s2/favicons?domain=crazyblog.in","crazyblog.in",""
"https://www.google.com/s2/favicons?domain=mbbank.com.vn","mbbank.com.vn","Tài chính"
