"image","name","type"
"https://www.google.com/s2/favicons?domain=no.ask.com","no.ask.com",""
"https://www.google.com/s2/favicons?domain=vatgia.com","vatgia.com","TMDT"
"https://www.google.com/s2/favicons?domain=vnpt.vn","vnpt.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=game4v.com","game4v.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=slideshare.net","slideshare.net","Công nghệ"
"https://www.google.com/s2/favicons?domain=truyentranhlh.net","truyentranhlh.net","Giải Trí"
"https://www.google.com/s2/favicons?domain=toptruyenfull.com","toptruyenfull.com",""
"https://www.google.com/s2/favicons?domain=gleam.io","gleam.io","Trò chơi"
"https://www.google.com/s2/favicons?domain=koanchay.com","koanchay.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=pixabay.com","pixabay.com","Sở thích"
"https://www.google.com/s2/favicons?domain=bidv.com.vn","bidv.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=rewrfsrewr.xyz","rewrfsrewr.xyz","Công nghệ"
"https://www.google.com/s2/favicons?domain=adpia.vn","adpia.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=gu-global.com","gu-global.com","Đời sống"
"https://www.google.com/s2/favicons?domain=namdinh.gov.vn","namdinh.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=goodreads.com","goodreads.com","Khoa học"
"https://www.google.com/s2/favicons?domain=chooxaur.com","chooxaur.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=ru.ign.com","ru.ign.com",""
"https://www.google.com/s2/favicons?domain=tr-ex.me","tr-ex.me","Tài liệu"
"https://www.google.com/s2/favicons?domain=ntt.edu.vn","ntt.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=traderviet.com","traderviet.com","Tài chính"
"https://www.google.com/s2/favicons?domain=ebank.tpb.vn","ebank.tpb.vn",""
"https://www.google.com/s2/favicons?domain=benhvien108.vn","benhvien108.vn","Sức khỏe"
"https://www.google.com/s2/favicons?domain=hdvietsub.net","hdvietsub.net","Giải Trí"
"https://www.google.com/s2/favicons?domain=tksplaneta.mos.ru","tksplaneta.mos.ru",""
"https://www.google.com/s2/favicons?domain=unica.vn","unica.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=tb.cn","tb.cn","TMDT"
"https://www.google.com/s2/favicons?domain=duolingo.com","duolingo.com","Khoa học"
"https://www.google.com/s2/favicons?domain=m.ok.ru","m.ok.ru",""
"https://www.google.com/s2/favicons?domain=luatduonggia.vn","luatduonggia.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=scr.vn","scr.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=phimdacap.com","phimdacap.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=javhd.com","javhd.com","Người lớn"
"https://www.google.com/s2/favicons?domain=accesstrade.vn","accesstrade.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=animehay.site","animehay.site",""
"https://www.google.com/s2/favicons?domain=ac.qq.com","ac.qq.com",""
"https://www.google.com/s2/favicons?domain=chuangshi.qq.com","chuangshi.qq.com",""
"https://www.google.com/s2/favicons?domain=cohoc.net","cohoc.net","Tin tức"
"https://www.google.com/s2/favicons?domain=288sb.com","288sb.com","Social Casino"
"https://www.google.com/s2/favicons?domain=bestie.vn","bestie.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=animehay.club","animehay.club",""
"https://www.google.com/s2/favicons?domain=azota.vn","azota.vn",""
"https://www.google.com/s2/favicons?domain=glosbe.com","glosbe.com","Tài liệu"
"https://www.google.com/s2/favicons?domain=sciencedirect.com","sciencedirect.com","Tài liệu"
"https://www.google.com/s2/favicons?domain=mphimmoiitv.com","mphimmoiitv.com",""
"https://www.google.com/s2/favicons?domain=lmssplus.com","lmssplus.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=zalopay.vn","zalopay.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=viettel.vn","viettel.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=goal.com","goal.com","Thể thao"
"https://www.google.com/s2/favicons?domain=requaluonne.com","requaluonne.com","Công nghệ"
