"image","name","type"
"https://www.google.com/s2/favicons?domain=xnxx.tv","xnxx.tv","Người lớn"
"https://www.google.com/s2/favicons?domain=medinet.gov.vn","medinet.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=dut.udn.vn","dut.udn.vn",""
"https://www.google.com/s2/favicons?domain=gamevui.vn","gamevui.vn","Trò chơi"
"https://www.google.com/s2/favicons?domain=iprice.vn","iprice.vn","TMDT"
"https://www.google.com/s2/favicons?domain=accuweather.com","accuweather.com","Khoa học"
"https://www.google.com/s2/favicons?domain=english.vov.vn","english.vov.vn",""
"https://www.google.com/s2/favicons?domain=vov2.vov.vn","vov2.vov.vn",""
"https://www.google.com/s2/favicons?domain=vov3.vov.vn","vov3.vov.vn",""
"https://www.google.com/s2/favicons?domain=vov4.vov.vn","vov4.vov.vn",""
"https://www.google.com/s2/favicons?domain=vovgiaothong.vov.vn","vovgiaothong.vov.vn",""
"https://www.google.com/s2/favicons?domain=vovtv.vov.vn","vovtv.vov.vn",""
"https://www.google.com/s2/favicons?domain=vov6.vov.vn","vov6.vov.vn",""
"https://www.google.com/s2/favicons?domain=baoxuan.vov.vn","baoxuan.vov.vn",""
"https://www.google.com/s2/favicons?domain=sharepoint.com","sharepoint.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=vuahanghieu.com","vuahanghieu.com","Đời sống"
"https://www.google.com/s2/favicons?domain=images.vov.vn","images.vov.vn",""
"https://www.google.com/s2/favicons?domain=due.udn.vn","due.udn.vn",""
"https://www.google.com/s2/favicons?domain=ngocrongonline.com","ngocrongonline.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=animevi.net","animevi.net",""
"https://www.google.com/s2/favicons?domain=paypalobjects.com","paypalobjects.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=niddk.nih.gov","niddk.nih.gov",""
"https://www.google.com/s2/favicons?domain=shopeefood.vn","shopeefood.vn",""
"https://www.google.com/s2/favicons?domain=cunghocvui.com","cunghocvui.com","Khoa học"
"https://www.google.com/s2/favicons?domain=phucanh.vn","phucanh.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=honda.com.vn","honda.com.vn","Xe cộ"
"https://www.google.com/s2/favicons?domain=thuvienhoidap.net","thuvienhoidap.net","Khoa học"
"https://www.google.com/s2/favicons?domain=clip-sex.biz","clip-sex.biz","Người lớn"
"https://www.google.com/s2/favicons?domain=animet.net","animet.net","Giải Trí"
"https://www.google.com/s2/favicons?domain=gdt.gov.vn","gdt.gov.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=keonhacai.men","keonhacai.men",""
"https://www.google.com/s2/favicons?domain=oxfordlearnersdictionaries.com","oxfordlearnersdictionaries.com","Tài liệu"
"https://www.google.com/s2/favicons?domain=cand.com.vn","cand.com.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=hotro.vtc.vn","hotro.vtc.vn",""
"https://www.google.com/s2/favicons?domain=ndh.vn","ndh.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=fullphimz.com","fullphimz.com",""
"https://www.google.com/s2/favicons?domain=bongdaso.vn","bongdaso.vn","Thể thao"
"https://www.google.com/s2/favicons?domain=khoahoc.tv","khoahoc.tv","Tin tức"
"https://www.google.com/s2/favicons?domain=awspv3001.r18.com","awspv3001.r18.com",""
"https://www.google.com/s2/favicons?domain=dichvucong.gov.vn","dichvucong.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=oto.com.vn","oto.com.vn","Xe cộ"
"https://www.google.com/s2/favicons?domain=luutrurp.site","luutrurp.site","Người lớn"
"https://www.google.com/s2/favicons?domain=gamevn.com","gamevn.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=ontime.ghn.vn","ontime.ghn.vn",""
"https://www.google.com/s2/favicons?domain=learncpp.com","learncpp.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=hltv.org","hltv.org","Trò chơi"
"https://www.google.com/s2/favicons?domain=zone.msn.com","zone.msn.com",""
"https://www.google.com/s2/favicons?domain=mephimthai.com","mephimthai.com",""
"https://www.google.com/s2/favicons?domain=manhuarock.net","manhuarock.net",""
"https://www.google.com/s2/favicons?domain=hust.edu.vn","hust.edu.vn","Khoa học"
