"image","name","type"
"https://www.google.com/s2/favicons?domain=run.vn","run.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=bestcacuoc8.com","bestcacuoc8.com",""
"https://www.google.com/s2/favicons?domain=nguoinoitieng.tv","nguoinoitieng.tv","Giải Trí"
"https://www.google.com/s2/favicons?domain=yugih5.com","yugih5.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=bakabt.me","bakabt.me","Giải Trí"
"https://www.google.com/s2/favicons?domain=nhlbi.nih.gov","nhlbi.nih.gov",""
"https://www.google.com/s2/favicons?domain=nongnghiep.vn","nongnghiep.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=tkaraoke.com","tkaraoke.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=britishcouncil.org","britishcouncil.org","Khoa học"
"https://www.google.com/s2/favicons?domain=giadinh.net.vn","giadinh.net.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=ems.com.vn","ems.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=dropbox.com","dropbox.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=mozilla.org","mozilla.org","Công nghệ"
"https://www.google.com/s2/favicons?domain=myanimelist.net","myanimelist.net","Giải Trí"
"https://www.google.com/s2/favicons?domain=okmcko.mos.ru","okmcko.mos.ru",""
"https://www.google.com/s2/favicons?domain=um.mos.ru","um.mos.ru",""
"https://www.google.com/s2/favicons?domain=ct.mos.ru","ct.mos.ru",""
"https://www.google.com/s2/favicons?domain=sony.com.vn","sony.com.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=phunuvagiadinh.vn","phunuvagiadinh.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=csail.mit.edu","csail.mit.edu",""
"https://www.google.com/s2/favicons?domain=asianschool.edu.vn","asianschool.edu.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=huflit.edu.vn","huflit.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=thoibaotaichinhvietnam.vn","thoibaotaichinhvietnam.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=xvideos-xxxx.com","xvideos-xxxx.com","Người lớn"
"https://www.google.com/s2/favicons?domain=thuocbietduoc.com.vn","thuocbietduoc.com.vn","Sức khỏe"
"https://www.google.com/s2/favicons?domain=ftu.edu.vn","ftu.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=rakuten.co.jp","rakuten.co.jp","TMDT"
"https://www.google.com/s2/favicons?domain=jobsgo.vn","jobsgo.vn","Nghề nghiệp"
"https://www.google.com/s2/favicons?domain=f1maximaal.nl","f1maximaal.nl","Xe cộ"
"https://www.google.com/s2/favicons?domain=bigfun.vip","bigfun.vip",""
"https://www.google.com/s2/favicons?domain=www-03.ibm.com","www-03.ibm.com",""
"https://www.google.com/s2/favicons?domain=letmejerk.com","letmejerk.com","Người lớn"
"https://www.google.com/s2/favicons?domain=vietnamobile.com.vn","vietnamobile.com.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=douyin.com","douyin.com","Tin tức"
"https://www.google.com/s2/favicons?domain=sacombank.com.vn","sacombank.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=ldplayer.net","ldplayer.net","Trò chơi"
"https://www.google.com/s2/favicons?domain=timeanddate.com","timeanddate.com","Khoa học"
"https://www.google.com/s2/favicons?domain=vbpl.vn","vbpl.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=tructiepdabong.tv","tructiepdabong.tv","Thể thao"
"https://www.google.com/s2/favicons?domain=xemvanmenh.net","xemvanmenh.net","Tin tức"
"https://www.google.com/s2/favicons?domain=kcb.vn","kcb.vn","Sức khỏe"
"https://www.google.com/s2/favicons?domain=ieltsonlinetests.com","ieltsonlinetests.com","Khoa học"
"https://www.google.com/s2/favicons?domain=phimsexsub.info","phimsexsub.info",""
"https://www.google.com/s2/favicons?domain=smas.edu.vn","smas.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=programiz.com","programiz.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=uef.edu.vn","uef.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=rung.vn","rung.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=phimgii.tv","phimgii.tv",""
"https://www.google.com/s2/favicons?domain=doctruyenmoi.com","doctruyenmoi.com",""
"https://www.google.com/s2/favicons?domain=phimmoiplus.net","phimmoiplus.net","Tin tức"
