"image","name","type"
"https://www.google.com/s2/favicons?domain=tuoinung.com","tuoinung.com","Người lớn"
"https://www.google.com/s2/favicons?domain=tinhocngoisao.com","tinhocngoisao.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=viblo.asia","viblo.asia","Công nghệ"
"https://www.google.com/s2/favicons?domain=taobao.com","taobao.com","TMDT"
"https://www.google.com/s2/favicons?domain=tv.plo.vn","tv.plo.vn",""
"https://www.google.com/s2/favicons?domain=lag.vn","lag.vn","Trò chơi"
"https://www.google.com/s2/favicons?domain=wedex.app","wedex.app",""
"https://www.google.com/s2/favicons?domain=hcmut.edu.vn","hcmut.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=hanoicomputer.vn","hanoicomputer.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=tintuconline.com.vn","tintuconline.com.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=medlatec.vn","medlatec.vn","Sức khỏe"
"https://www.google.com/s2/favicons?domain=xnxx-vn.com","xnxx-vn.com",""
"https://www.google.com/s2/favicons?domain=file-upload.com","file-upload.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=viettelpost.com.vn","viettelpost.com.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=vnpost.vn","vnpost.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=toonily.com","toonily.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=cleanipedia.com","cleanipedia.com","Nhà cửa"
"https://www.google.com/s2/favicons?domain=onlyfans.com","onlyfans.com","Người lớn"
"https://www.google.com/s2/favicons?domain=vietnamworks.com","vietnamworks.com","Nghề nghiệp"
"https://www.google.com/s2/favicons?domain=wikihow.vn","wikihow.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=otosaigon.com","otosaigon.com","Xe cộ"
"https://www.google.com/s2/favicons?domain=bloganchoi.com","bloganchoi.com","Đời sống"
"https://www.google.com/s2/favicons?domain=ghn.vn","ghn.vn","TMDT"
"https://www.google.com/s2/favicons?domain=encarta.msn.com","encarta.msn.com",""
"https://www.google.com/s2/favicons?domain=fr.msn.com","fr.msn.com",""
"https://www.google.com/s2/favicons?domain=nl.msn.com","nl.msn.com",""
"https://www.google.com/s2/favicons?domain=vansu.net","vansu.net","Tin tức"
"https://www.google.com/s2/favicons?domain=truyendich.com","truyendich.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=vtvgo.vn","vtvgo.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=lichngaytot.com","lichngaytot.com","Tin tức"
"https://www.google.com/s2/favicons?domain=247phim.com","247phim.com","Động vật"
"https://www.google.com/s2/favicons?domain=atrungroi.com","atrungroi.com","Social Casino"
"https://www.google.com/s2/favicons?domain=medium.com","medium.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=moneycentral.msn.com","moneycentral.msn.com",""
"https://www.google.com/s2/favicons?domain=prodigy.msn.com","prodigy.msn.com",""
"https://www.google.com/s2/favicons?domain=vuianime.tv","vuianime.tv",""
"https://www.google.com/s2/favicons?domain=javrave.club","javrave.club","Người lớn"
"https://www.google.com/s2/favicons?domain=webflow.io","webflow.io","Công nghệ"
"https://www.google.com/s2/favicons?domain=sofifa.com","sofifa.com","Thể thao"
"https://www.google.com/s2/favicons?domain=vps.com.vn","vps.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=chess.com","chess.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=metruyenchu.net","metruyenchu.net",""
"https://www.google.com/s2/favicons?domain=dangcongsan.vn","dangcongsan.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=mephimmy.com","mephimmy.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=ngoisao.vn","ngoisao.vn","Giải Trí"
"https://www.google.com/s2/favicons?domain=e-hentai.org","e-hentai.org","Người lớn"
"https://www.google.com/s2/favicons?domain=hentaipro.net","hentaipro.net","Người lớn"
"https://www.google.com/s2/favicons?domain=stepup.edu.vn","stepup.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=livescore.com","livescore.com","Thể thao"
"https://www.google.com/s2/favicons?domain=shop.bbc.com","shop.bbc.com","Giải Trí"
