"image","name","type"
"https://www.google.com/s2/favicons?domain=bitis.com.vn","bitis.com.vn","Đời sống"
"https://www.google.com/s2/favicons?domain=br.op.gg","br.op.gg",""
"https://www.google.com/s2/favicons?domain=graph.qq.com","graph.qq.com",""
"https://www.google.com/s2/favicons?domain=mediafire.com","mediafire.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=merriam-webster.com","merriam-webster.com","Tài liệu"
"https://www.google.com/s2/favicons?domain=hcmue.edu.vn","hcmue.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=theguardian.com","theguardian.com","Tin tức"
"https://www.google.com/s2/favicons?domain=hanoi.edu.vn","hanoi.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=quangbinh.gov.vn","quangbinh.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=studytienganh.vn","studytienganh.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=sex333.net","sex333.net",""
"https://www.google.com/s2/favicons?domain=hesgoal.com","hesgoal.com","Thể thao"
"https://www.google.com/s2/favicons?domain=chinhphu.vn","chinhphu.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=coursera.org","coursera.org","Khoa học"
"https://www.google.com/s2/favicons?domain=nhanh.vn","nhanh.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=kinhtedothi.vn","kinhtedothi.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=tripadvisor.com","tripadvisor.com","Du lịch"
"https://www.google.com/s2/favicons?domain=xemphim.club","xemphim.club","Công nghệ"
"https://www.google.com/s2/favicons?domain=mod.io","mod.io","Trò chơi"
"https://www.google.com/s2/favicons?domain=winwinshop88.vn","winwinshop88.vn","TMDT"
"https://www.google.com/s2/favicons?domain=xosothienphu.com","xosothienphu.com",""
"https://www.google.com/s2/favicons?domain=hoc360.net","hoc360.net","Khoa học"
"https://www.google.com/s2/favicons?domain=baophapluat.vn","baophapluat.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=boursorama.com","boursorama.com","Tài chính"
"https://www.google.com/s2/favicons?domain=binhphuoc.gov.vn","binhphuoc.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=lichvansu.wap.vn","lichvansu.wap.vn",""
"https://www.google.com/s2/favicons?domain=nhandan.vn","nhandan.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=hcmcpv.org.vn","hcmcpv.org.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=base.vn","base.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=iuh.edu.vn","iuh.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=vnchich.com","vnchich.com",""
"https://www.google.com/s2/favicons?domain=nguoiduatin.vn","nguoiduatin.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=binance.org","binance.org","Tài chính"
"https://www.google.com/s2/favicons?domain=chiaki.vn","chiaki.vn","TMDT"
"https://www.google.com/s2/favicons?domain=bitly.com.vn","bitly.com.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=xoso888.com","xoso888.com","Social Casino"
"https://www.google.com/s2/favicons?domain=tinnhac.com","tinnhac.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=studyphim.vn","studyphim.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=healthline.com","healthline.com","Sức khỏe"
"https://www.google.com/s2/favicons?domain=lesang.vn","lesang.vn","TMDT"
"https://www.google.com/s2/favicons?domain=huyenbi.net","huyenbi.net","Tin tức"
"https://www.google.com/s2/favicons?domain=sbsc.com.vn","sbsc.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=vietjetair.com","vietjetair.com","Du lịch"
"https://www.google.com/s2/favicons?domain=danang.gov.vn","danang.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=ethermine.org","ethermine.org","Công nghệ"
"https://www.google.com/s2/favicons?domain=scribd.com","scribd.com","Khoa học"
"https://www.google.com/s2/favicons?domain=goplay.vn","goplay.vn","Trò chơi"
"https://www.google.com/s2/favicons?domain=pages.fm","pages.fm","Công nghệ"
"https://www.google.com/s2/favicons?domain=freetuts.net","freetuts.net","Công nghệ"
"https://www.google.com/s2/favicons?domain=sex.com","sex.com","Người lớn"
