"image","name","type"
"https://www.google.com/s2/favicons?domain=mbs.com.vn","mbs.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=xsmb.vn","xsmb.vn","Social Casino"
"https://www.google.com/s2/favicons?domain=hhkungfu.tv","hhkungfu.tv","Công nghệ"
"https://www.google.com/s2/favicons?domain=time.is","time.is","Tài liệu"
"https://www.google.com/s2/favicons?domain=pngtree.com","pngtree.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=upshroomishtor.com","upshroomishtor.com",""
"https://www.google.com/s2/favicons?domain=mundoporn.net","mundoporn.net","Người lớn"
"https://www.google.com/s2/favicons?domain=hentai-share.tv","hentai-share.tv","Giải Trí"
"https://www.google.com/s2/favicons?domain=pathofexile.com","pathofexile.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=vio.edu.vn","vio.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=hentaiz.top","hentaiz.top",""
"https://www.google.com/s2/favicons?domain=bloggiamgia.vn","bloggiamgia.vn","TMDT"
"https://www.google.com/s2/favicons?domain=pdu.edu.vn","pdu.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=forums.voz.vn","forums.voz.vn",""
"https://www.google.com/s2/favicons?domain=vuianime.net","vuianime.net","Giải Trí"
"https://www.google.com/s2/favicons?domain=thegioidienanh.vn","thegioidienanh.vn","Giải Trí"
"https://www.google.com/s2/favicons?domain=namu.wiki","namu.wiki","Công nghệ"
"https://www.google.com/s2/favicons?domain=yaytext.com","yaytext.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=rottentomatoes.com","rottentomatoes.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=tcbs.com.vn","tcbs.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=thanhhoa.gov.vn","thanhhoa.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=tuyensinhso.vn","tuyensinhso.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=daklak.edu.vn","daklak.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=vku.udn.vn","vku.udn.vn",""
"https://www.google.com/s2/favicons?domain=vnuk.udn.vn","vnuk.udn.vn",""
"https://www.google.com/s2/favicons?domain=anphatpc.com.vn","anphatpc.com.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=iastate.edu","iastate.edu","Khoa học"
"https://www.google.com/s2/favicons?domain=dscan.info","dscan.info","Trò chơi"
"https://www.google.com/s2/favicons?domain=memepad.co","memepad.co","Tài chính"
"https://www.google.com/s2/favicons?domain=mephimhanz.com","mephimhanz.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=jp.op.gg","jp.op.gg",""
"https://www.google.com/s2/favicons?domain=kkfashion.vn","kkfashion.vn","Đời sống"
"https://www.google.com/s2/favicons?domain=homedy.com","homedy.com","Nhà cửa"
"https://www.google.com/s2/favicons?domain=expediapartnercentral.com","expediapartnercentral.com","Du lịch"
"https://www.google.com/s2/favicons?domain=bibomart.com.vn","bibomart.com.vn","TMDT"
"https://www.google.com/s2/favicons?domain=cookpad.com","cookpad.com","Thực phẩm"
"https://www.google.com/s2/favicons?domain=txtnovel.top","txtnovel.top","Giải Trí"
"https://www.google.com/s2/favicons?domain=btec.fpt.vn","btec.fpt.vn",""
"https://www.google.com/s2/favicons?domain=xemphimgis.net","xemphimgis.net",""
"https://www.google.com/s2/favicons?domain=thesaurus.com","thesaurus.com","Tài liệu"
"https://www.google.com/s2/favicons?domain=khanhvyhome.com.vn","khanhvyhome.com.vn","TMDT"
"https://www.google.com/s2/favicons?domain=meinvoice.vn","meinvoice.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=1h30m.link","1h30m.link",""
"https://www.google.com/s2/favicons?domain=xviet.tv","xviet.tv",""
"https://www.google.com/s2/favicons?domain=unity.com","unity.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=topphim.pro","topphim.pro",""
"https://www.google.com/s2/favicons?domain=timviec365.vn","timviec365.vn","Nghề nghiệp"
"https://www.google.com/s2/favicons?domain=bichill.tv","bichill.tv",""
"https://www.google.com/s2/favicons?domain=trainzland.ru","trainzland.ru","Trò chơi"
"https://www.google.com/s2/favicons?domain=stvkr.com","stvkr.com",""
