"image","name","type"
"https://www.google.com/s2/favicons?domain=shutterstock.com","shutterstock.com","Sở thích"
"https://www.google.com/s2/favicons?domain=kahoot.it","kahoot.it","Trò chơi"
"https://www.google.com/s2/favicons?domain=npmjs.com","npmjs.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=nhac.vn","nhac.vn","Giải Trí"
"https://www.google.com/s2/favicons?domain=skype.com","skype.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=sextop1.biz","sextop1.biz",""
"https://www.google.com/s2/favicons?domain=bestprice.vn","bestprice.vn","Du lịch"
"https://www.google.com/s2/favicons?domain=blogchiasekienthuc.com","blogchiasekienthuc.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=topdev.vn","topdev.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=loga.vn","loga.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=muchoflix.com","muchoflix.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=ctu.edu.vn","ctu.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=fpt.com.vn","fpt.com.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=viet69.to","viet69.to",""
"https://www.google.com/s2/favicons?domain=flashscore.com","flashscore.com","Thể thao"
"https://www.google.com/s2/favicons?domain=cali.vn","cali.vn",""
"https://www.google.com/s2/favicons?domain=chemicalaid.com","chemicalaid.com","Khoa học"
"https://www.google.com/s2/favicons?domain=vntrip.vn","vntrip.vn","Du lịch"
"https://www.google.com/s2/favicons?domain=dienthoaihay.vn","dienthoaihay.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=play.163.com","play.163.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=news.163.com","news.163.com","Tin tức"
"https://www.google.com/s2/favicons?domain=ent.163.com","ent.163.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=linkvertise.com","linkvertise.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=twavi.com","twavi.com","Người lớn"
"https://www.google.com/s2/favicons?domain=thiendia88.net","thiendia88.net","Công nghệ"
"https://www.google.com/s2/favicons?domain=nih.gov","nih.gov","Sức khỏe"
"https://www.google.com/s2/favicons?domain=nei.nih.gov","nei.nih.gov",""
"https://www.google.com/s2/favicons?domain=reg.163.com","reg.163.com","Tin tức"
"https://www.google.com/s2/favicons?domain=163.com","163.com","Tin tức"
"https://www.google.com/s2/favicons?domain=espn.com","espn.com","Thể thao"
"https://www.google.com/s2/favicons?domain=vjshop.vn","vjshop.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=nettruyengo.com","nettruyengo.com",""
"https://www.google.com/s2/favicons?domain=manulife.com.vn","manulife.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=userbenchmark.com","userbenchmark.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=selfomy.com","selfomy.com","Khoa học"
"https://www.google.com/s2/favicons?domain=vuisex.net","vuisex.net",""
"https://www.google.com/s2/favicons?domain=duytan.edu.vn","duytan.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=hoyolab.com","hoyolab.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=sexgai.sex","sexgai.sex",""
"https://www.google.com/s2/favicons?domain=hanoi.gov.vn","hanoi.gov.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=iphimchill.tv","iphimchill.tv",""
"https://www.google.com/s2/favicons?domain=bilibili.com","bilibili.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=laban.vn","laban.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=otakugo.net","otakugo.net","Giải Trí"
"https://www.google.com/s2/favicons?domain=tech12h.com","tech12h.com","Khoa học"
"https://www.google.com/s2/favicons?domain=24hmoney.vn","24hmoney.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=neu.edu.vn","neu.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=minhngoc.net","minhngoc.net","Social Casino"
"https://www.google.com/s2/favicons?domain=tumblr.com","tumblr.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=abay.vn","abay.vn","Du lịch"
